review,text_cleaned
may sana me ano tong sulat galing sa ko kasi me basahin mo na me daw me una ang litrato mo ang sama bat me ewan ko sabi me saya ko sumaya pa me nga ituloy mo me kaya ko lahat ng litrato mo,tong sulat galing kasi basahin mo daw litrato mo sama bat ewan saya sumaya nga ituloy mo litrato mo
mga po po,
agad iba laundry para may bukas medyo malaki at manipis pero maganda pa rin,agad laundry bukas medyo malaki manipis maganda rin
manipis lang tela pero okey lang dahil ko naman bahay lang mo pa tahi sa makina para medyo matibay okey din mga iba,manipis tela okey bahay mo tahi makina medyo matibay okey
manipis kaya mabilis mapunit,manipis mabilis mapunit
malaki para sa mga anak ko,malaki anak
maganda po kaso manipis nga lang ko kaso may halo babae at lang po,maganda kaso manipis nga kaso halo babae
na ang pero sa bagal ng usad ng grabe,bagal usad grabe
masyado manipis pero na na,manipis
manipis pero,manipis
ko mura pero manipis din kaya pala ang presyo pero na,mura manipis pala presyo
manipis,manipis
ang tela kahit may di sira din maluwag garter at di maganda tahi pero salamat may,tela di sira maluwag garter di maganda tahi salamat
manipis,manipis
masyado manipis at hindi maganda ang tahi butas po hindi po rin lang din para balik puhunan,manipis maganda tahi butas rin balik puhunan
pangit at marupok,pangit marupok
sira ni palibhasa ko kung ko pero lang ako,sira palibhasa
sira ni palibhasa ko kung ko pero lang ako,sira palibhasa
ng ko kasi nga mura kaya na lang ako ng dumating may pa pala sa ko pa rin,kasi nga mura dumating pala rin
transaction,transaction
po ng ko dumating ng sa po,dumating
ganda ng ko kay kuya na lagi,ganda kay kuya lagi
order agad ng isa pa muna,agad muna
manipis ang tela ng,manipis tela
maiksi,maiksi
medyo maiksi sa model na nasa pero po,medyo maiksi model nasa
wala daw dahil kulay na gusto ko na pero ang ng,wala daw kulay
pa kaya palitan may,palitan
manipis tela,manipis tela
ang nipis niya pero do mura siya,nipis mura
manipis tela pero maganda naman normal lang di katulad sa,manipis tela maganda normal di
ang order ko isa dumating at isa may mantsa pa,dumating mantsa
kami ng maayos sana sirain tiwala namin sainyo sana ng maayos pa sana ako ulit kaso baka ganyan ibigay umay sa,maayos sirain tiwala sainyo maayos ulit kaso baka ganyan ibigay umay
me,
ang,
kami ng maayos sana sirain tiwala namin sainyo sana ng maayos pa sana ako ulit kaso baka ganyan ibigay umay sa,maayos sirain tiwala sainyo maayos ulit kaso baka ganyan ibigay umay
me,
ang,
maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda,maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda
sulit sa maganda ko pati ng kapatid ko mo lang sa pag kayo,sulit maganda pati kapatid mo pag kayo
maganda ang hindi sa may talaga na model sa di ko na ang aga dumating,maganda talaga model di aga dumating
ay na na,
naman makapal ang tela check na ko may naman ang iba,makapal tela check
naman ng ko talaga akala ko medyo maluwag luwag,talaga akala medyo maluwag luwag
maliit po ang,maliit
makapal tela siya sa presyo niya diko na maliit ako kaya maliit sana kung medyo mahaba pa,makapal tela presyo diko maliit maliit medyo mahaba
nipis,nipis
nipis,nipis
ang ganda pala ng tela nito malambot at masarap saka mura mabilis din ang pati,ganda pala tela malambot masarap saka mura mabilis pati
salamat at sa dahil ang ganda ng malambot ang tela din salamat din kay kuya,salamat ganda malambot tela salamat kay kuya
at maganda ang tela makapal ang tahi ang walang sira din ang ng ko ko na,maganda tela makapal tahi sira
ang tela ang pag order kay ako ulit,tela pag kay ulit
pangatlo kuna bili sa kaya pag dating itim ulit,pangatlo kuna bili pag dating itim ulit
bewang ko na para ang ko na ko ang tela at sa partner na order ko,bewang tela partner
naman,
naman lang may bulsa di naman pa kita,bulsa di kita
din ng kaso nga lang di kulay na pagbigyan pero kung ano na din ang ibigay,kaso nga di kulay pagbigyan ibigay
ayos lang medyo at hindi lang sa,ayos medyo
hindi ang natanggap ko di rin ang tela pero makapal naman,natanggap di rin tela makapal
siya bili sana nilabhan ayun lumiit bitin na pantalon bahala na,bili nilabhan ayun lumiit bitin pantalon bahala
hindi man lang ang bago ako sa order ko tapos isa ang ang ko ay ang ay,man tapos
natanggap ko na po order ko tama naman mga kulay at na kaya ako ko pero ibaba klase kulay medyo bewang pero tama haba manipis tela kulay mahaba nga sa kulay tama at kulay sikip baba di sa paa ko sa dalawa ko maluwag ang entrada,natanggap tama kulay klase kulay medyo bewang tama haba manipis tela kulay mahaba nga kulay tama kulay sikip baba di paa maluwag entrada
lang,
ano naman na ko na ang pangit pa naging lang pero ang luwag ng laylayan ng ang pangit ng hindi naman nasa ang layo,pangit luwag laylayan pangit nasa layo
na ay hindi masikip sa ay tama sa sa ay kung sana ang ay din ang dumating sa ang,masikip tama dumating
at,
maganda tama dumating na kulay at kung at kasi maliit pala hindi pala sila,maganda tama dumating kulay kasi maliit pala pala
mali kulay na,mali kulay
am,
naman pero hindi at hindi sa akin,
hindi siya pero hindi katulad nasa model ang pero mga para sa hindi magkamali ang mga na ng,nasa model magkamali
iba ang okey kaso magkaiba sa personal at,okey kaso magkaiba personal
na rin,rin
lang may sira isa na nila ko pa tahiin para lang na sana check ng maayos para wala reklamo,sira tahiin check maayos wala reklamo
sayang ko kasi sikip ng tipaklong na ng lalaki ata palito na di na may na na ang bewang,sayang kasi sikip tipaklong lalaki ata palito di bewang
order ko at maganda at hindi at hindi papalitan po,maganda papalitan
order ko bakit dumating kayo marunong bumasa o basta lang kumita ang kahit kayo ng kapwa tao kayo palagay ko hindi,dumating kayo marunong bumasa basta kumita kayo tao kayo palagay
tong mali order ka tandaan at,tong mali tandaan
order mali kulay na dumating hindi sayang maganda na sana tela,mali kulay dumating sayang maganda tela
order ko at maganda at hindi at hindi papalitan po,maganda papalitan
order ko bakit dumating kayo marunong bumasa o basta lang kumita ang kahit kayo ng kapwa tao kayo palagay ko hindi,dumating kayo marunong bumasa basta kumita kayo tao kayo palagay
tong mali order ka tandaan at,tong mali tandaan
ko po ito mali po dalawa na nga po ko na kulay tapos ang maayos po bumayad ng order ko sainyo sana maayos din naman ipadala ang order ko,mali nga kulay tapos maayos bumayad sainyo maayos ipadala
order na dumating sa layo ng sa dumating na ang sa na basa ng muna mo sa dating malayo mo,dumating layo dumating basa muna mo dating malayo mo
todo na ang saya data tawagan at sa lahat liit,todo saya data tawagan liit
na maayos naman at ang tela dapat pala pero,maayos tela pala
ganda ko dito sa lang kahit sa,ganda
ko na tama sa na ko salamat sa at sa nito,tama salamat
order ko dumating check po,dumating check
todo na ang saya data tawagan at sa lahat liit,todo saya data tawagan liit
na maayos naman at ang tela dapat pala pero,maayos tela pala
manipis,manipis
naman sa presyo sa tela ng tagaytay me nila maliit kung sa babae tama mga,presyo tela tagaytay maliit babae tama
dumating na order ko ng tila at sukat din po sa,dumating tila sukat
order ko po pero ang dumating at napakanipis po sumunod kayo kung kulay ang,dumating napakanipis sumunod kayo kulay
order pero dumating check,dumating check
isa na nila wala pero lang damit lang naman,wala damit
na may punit pa,punit
maliit ang ka ng order ko pero ang dumating na muna bago kasi sira ng bukas po ko ng sana mabilis naman pag sana kahit ma ko man lang di kasi ako na ang sa normal sa,maliit dumating muna kasi sira bukas mabilis pag ma man di kasi normal
tama ang sa para sa anak mali ang sa na na pero pa din maliit po ito sa anak lalaki kami na ng check po mabuti bago magbalot at magpadala,tama anak mali maliit anak lalaki check mabuti magbalot magpadala
na dumating hindi ko kaya ko sa kapatid ko maganda sana kaso hindi ko talaga,dumating kapatid maganda kaso talaga
am iba na kahit naman sana mura lang sana nasa dini pa naman,mura nasa dini
me may na ang nila,
am iba na kahit naman sana mura lang sana nasa dini pa naman,mura nasa dini
po na ko may puro pa likod pako po dismaya,puro pako dismaya
po order ko hindi po pangalawa na order ko na po po uli,uli
ang order ko dumating gusto ko ito ibalik,dumating ibalik
ang order ko dumating lang ako sa mga ko ang namin ngayon pagbili para mabawi ko ko sa order,dumating pagbili mabawi
dumating,dumating
order me me,
ang tagal dumating tapos kulay pa ko dumating,tagal dumating tapos kulay dumating
ako sa order ko sana para sana mama ko kaso dumating na kayo benta kung ganito lang,mama kaso dumating kayo benta ganito
ko pero dumating naman,dumating
ko naman dumating,dumating
ang linaw ng pag order ko ang ko tapos ito dumating kulay wala ng ano para ng sobra,linaw pag tapos dumating kulay wala sobra
po order ko dumating,dumating
inang bobo naman sa order ko,inang bobo
apat po order ko at bakit po ang dumating dito ay pa po ang saamin,dumating saamin
na dito mali mali ang puti ko pa naman,mali mali puti
ang order ko isa mali lahat ng lang na order ko sa tatlong pero bakit dumating sana na lang kayo ganito,mali tatlong dumating kayo ganito
do do order do,
mabilis ang pero tastas ang tahi saka sobra nipis sayang lang pero,mabilis tastas tahi saka sobra nipis sayang
po ko pero ang walang,
po ko,
ang order ko pa check sa sayang pera,check sayang pera
maganda tela maliit nga ang na order ko maganda malambot mabilis din,maganda tela maliit nga maganda malambot mabilis
ko talaga kasi wala ako ayaw ko na din tagal mo tapos mali at po hindi ng kulay kung hindi napili ng ko ninyo ako na na pala ang lang ang sa transaction na ito,talaga kasi wala ayaw tagal mo tapos mali kulay napili ninyo pala transaction
ang ko po na dumating,dumating
kinang ina nga ko para malaki dating ayusin mga pahalata,kinang ina nga malaki dating ayusin pahalata
na para sana sa panganay anak pero sa bunso lang namin tatlo pa naman ko grabe lungkot ng mga anak ko,panganay anak bunso grabe lungkot anak
kasi kasi iba iba ang dumating may dalawa dilaw order ko kung ko naman,kasi kasi dumating dilaw
pero mura lang pero sana sabihin na lang kung wala na pera pa din ang sa inyo na bahala sa inyo,mura wala pera inyo bahala inyo
bat naman may sira po sana naman po bago ipadala kung mura kaso di naman magagamit,bat sira ipadala mura kaso di magagamit
kulay order na ano,kulay
serbisyo ko na na ko wala pa,serbisyo wala
katulad din ata sila isa ata ang nila sayang pera ko,ata ata sayang pera
ang kahit ang ata,ata
sana maganda tela kaso problema hindi order ko pero lang dumating namin tapos mali,maganda tela kaso problema dumating tapos mali
ang layo ng kulay sa at sa na ko kulay order ko dumating kaka walang gana hindi rin maganda po para walang problema at ayos ng pag para kayo ng nang,layo kulay kulay dumating kaka gana rin maganda problema ayos pag kayo nang
ko bakit ang dumating kaya pala mura hindi,dumating pala mura
order napakalayo naman sa kulay iba sa dilaw ginawa,napakalayo kulay dilaw
check am,check
pero baka mas pa,baka mas
kaso mali ang na ko bulag ang ang ko ang dumating,kaso mali bulag dumating
pero ang ng mga puro ang sa,puro
ko po naman ang na kuha ko ang pa kita ko ang bastos naman ang pa ng,kuha kita bastos
inis ang mali ko,inis mali
order ko na dumating na,dumating
lang,
liit ko,liit
me,
ang order ko ang,
bakit po liit po ko pero,liit
ko pero lang dumating,dumating
dumating na kulay,dumating kulay
sana alisin na sa kulay kasi wala naman kayo order ko na mali ang kulay na lang kasi pag pa,alisin kulay kasi wala kayo mali kulay kasi pag
hindi mismo dumating dumating ay,dumating dumating
ko pero dumating,dumating
maliit dumating sayang pero maganda tela,maliit dumating sayang maganda tela
ang order ko pero dumating masyado ng lang,dumating
mali bili ko ang dumating,mali bili dumating
bakit naman ang order ko bakit hindi sana ayusin at basahin mabuti mga order sa inyo hindi na ako sa,ayusin basahin mabuti inyo
am normal,normal
maganda po ang tela ng ko at maganda taglamig at po salamat sa sa order ko at sa,maganda tela maganda taglamig salamat
order ko dumating bitin,dumating bitin
ang liit ng na order ko dipa din lang ako ng pera dapat sa nila para din iba,liit dipa pera
po order ko sayang bayad sainyo,sayang bayad sainyo
mali po ang,mali
hindi tama ang kulay pa ng tela ko pero,tama kulay tela
naman kaso mali,kaso mali
mali pati na dumating beses na,mali pati dumating beses
liit ng,liit
di na tong na ng dumating order ko ng wala ano na galaw galaw,di tong dumating wala galaw galaw
mali na ko pero dumating ano,mali dumating
ganda na sa na pinili ko pa ako,ganda pinili
naman,
ganda ng ng tela at ang ganda lang dahil order ule ako,ganda tela ganda ule
am,
ng tila at pa nga ako ulit talaga,tila nga ulit talaga
me am,
maganda lang ang gastos,maganda gastos
maganda ang tela medyo manipis nga lang at hindi katulad sa itim pero naman lang ang pagka,maganda tela medyo manipis nga itim pagka
ko kaya medyo bitin pero na ang bilis dumating mga lang na mo,medyo bitin bilis dumating mo
solid po ang po ng tela po ako uli,solid tela uli
maganda at din tela salamat at tama din dumating na kulay salamat,maganda tela salamat tama dumating kulay salamat
order,
ang at maganda ang,maganda
maganda bilin na maganda tela malaki lang masyado pero,maganda bilin maganda tela malaki
maganda kaso lang medyo manipis walang na kung,maganda kaso medyo manipis
maganda kulay pero sa tela lang,maganda kulay tela
ayos naman may butas na maliit sa maging maayos na sa mas magiging pa iyon,ayos butas maliit maayos mas magiging
order problem me,problem
ko pero dumating pinili ko kasi ito lang may na kulay tapos rin pala na makukuha ko sana po check maigi,dumating pinili kasi kulay tapos rin pala makukuha check maigi
ganda maganda tela siya ng ko,ganda maganda tela
lang at sulit di sayang pera ko dito,sulit di sayang pera
ganda ng tela kaso tagal na kung ako di sa kasi dami daw ng sa kanila na kung ang tela,ganda tela kaso tagal di kasi dami daw tela
po sa order ko bale po ako dahil sa mali mali ang mga order na dumating bale order pero ang dumating po ay at at mali pa ang na pero lang po daw kaya ang order ko nga lang dalawa diko magagamit,bale mali mali dumating bale dumating mali daw nga diko magagamit
mabilis maganda tela sana kaso may sana po check muna bago ko at,mabilis maganda tela kaso check muna
ng tela kaso ang pangit ng sa ko na dito kung hindi ganito naman,tela kaso pangit ganito
pala ng pero na din naman,pala
naman naman bilis din dumating,bilis dumating
maganda naman walang hindi naman siya naman kasi mali kulay,maganda kasi mali kulay
sana kaso may butas sayang pero magagawa ko na,kaso butas sayang magagawa
masyado malaki,malaki
bakit mas manipis ang ng ang sinulid na hindi pulido ang tahi,mas manipis sinulid pulido tahi
bakit mga ang dumating ang order ko sana hindi puro benta ang natin kahit hindi masayahan ang mali ang mas marami pa ang mali sa tama,dumating puro benta natin masayahan mali mas mali tama
may butas sa tagiliran damit,butas tagiliran damit
order ko po ay pero dumating laki po,dumating laki
pero dumating para maayos sabi daw ng na daw ng di rin naman di na sa order,dumating maayos daw daw di rin di
hindi magkaiba sa kulay ng,magkaiba kulay
lang hindi order ko na di mo order ko na inis ang ganda ng usapan na,di mo inis ganda usapan
me me,
ko kulay lang kulay tapos hindi isa kulay mint kaya lang sa check muna ng maayos,kulay kulay tapos kulay mint check muna maayos
salamat po sa damit sa mukha ko naging mask ko na,salamat damit mukha mask
ano lang hiya kaya ng tiwala mga tao sa,hiya tiwala tao
am man,man
maganda naman kaso,maganda kaso
tama ng na pero mali ang order ko na na ko na pero ang tama na ng dumating order ko,tama mali tama dumating
ang ganda ng at kaso labo naman ang order,ganda kaso labo
mas mura po sa na ito sa maganda po po siya order nga po ulit ako kasi mga nila,mas mura maganda nga ulit kasi
walang amoy ang mask maganda ang makapal ulit salamat,amoy mask maganda makapal ulit salamat
at,
ang ganda ng ang pagbili ng ako sa ganda din ng,ganda pagbili ganda
order,
siya sulit mo naman ang bayad mo,sulit mo bayad mo
po at kay kuya na po ang ganda po ng,kay kuya ganda
lang dahil manipis lang siya pero lang niya siya sa mukha ko,manipis mukha
order lang kasi kulay hindi dapat kasi ang,kasi kulay kasi
mask mask,mask mask
naman ang pero nasa harap ang tali hindi na mabibili check,nasa harap tali mabibili check
ikli ng pero naman,ikli
kami kasi na namin bumili maganda na namin nipis na,kasi bumili maganda nipis
manipis siya masyado tapos lang ng sayang manipis talaga pa naman order,manipis tapos sayang manipis talaga
maluwang nipis maluwang nipis maluwang nipis maluwang nipis,maluwang nipis maluwang nipis maluwang nipis maluwang nipis
hindi tayo manloloko di basa dami ng ko na ito lang ang na hindi sa,manloloko di basa dami
ng sobra sa dahil ang ko pero sa na tama ng,sobra tama
salamat po sa pero po po kasi manipis at nasira,salamat kasi manipis nasira
salamat po sa pero po po kasi manipis at nasira,salamat kasi manipis nasira
dati naman na dito ng mask order na ito pero pumangit ang manipis na at medyo maliit,dati mask pumangit manipis medyo maliit
post mask check,post mask check
am,
mask order,mask
sa,
napakanipis sa mga dami kasi kala ko totoo sa lahat ng mask at pangit,napakanipis dami kasi kala totoo mask pangit
mga mask manipis tapos amoy pintura pa di ko man mga mask ang dami ko pa man din,mask manipis tapos amoy pintura di man mask dami man
order agad check manipis na nga may amag nilabhan itsura wala dina ako at sa mga neto na order pa di bigay sa ng gawa,agad check manipis nga amag nilabhan itsura wala dina neto di bigay gawa
salamat at kompleto naman po ang order ko sa po order ako ulit maganda at makulay lahat,salamat kompleto ulit maganda makulay
manipis,manipis
kulang ang do ko sa inyo agad,inyo agad
manipis po ang at may amoy pag ng,manipis amoy pag
hindi ng check tali at may amoy ko na muna sa para mahanginan baka sakali mawala amoy sayang pa ko hindi ko pala magamit agad,check tali amoy muna mahanginan baka sakali mawala amoy sayang pala magamit agad
order masyado manipis kasi lang sa,manipis kasi
ang order ko pero na wala order na palitan ng kulay,wala palitan kulay
order ko dumating,dumating
kulang po ng order ko dumating dapat po ngayon mga order ko sa,dumating
nipis mask na sayang ang pera,nipis mask sayang pera
nipis ng kitang kita sa kung ka nipis tapos ang baho pa ng amoy amoy pintura pa di ka sa kundi sa amoy ng,nipis kitang kita nipis tapos baho amoy amoy pintura di kundi amoy
napakanipis ng mask hirap talaga magtiwala sa,napakanipis mask hirap talaga magtiwala
napaka nipis,nipis
mask kaso manipis lang talaga ng ko sa akin lang ako sa tawa lang sa mga ko man lang na kulang nila pero waang gana po kompleto po pero lang talaga,mask kaso manipis talaga tawa man waang gana kompleto talaga
naman kaya lang nipis ng mask sa na lang,nipis mask
po kaso pa kako o mali kaso bawi,kaso kako mali kaso bawi
po na sana maganda ang na ang pangit pa ng kulay ko na me po,maganda pangit kulay
kulang na ni kahit pa mask lang kami ng para sa na mask pero ang namin naman po kayo sana po po na hindi naman po kami galit lang po kami sa na ganito sa kulang kulang nga kulang naman,mask mask kayo galit ganito nga
po ang order ko ang dumating ay lang bakit po kulang ng isa at sa kulay po bakit po naging tatlo po lang sana po kahit iba iba pa po ang kulay basta sana na kaso kulang po ng isa bayad ko,dumating kulay kulay basta kaso bayad
order mask una tama ngayon mali kulay dumating,mask tama mali kulay dumating
order ko iba ang dumating wala ang halaga ng order ko ako order iba sana kayo kung wala duble ng,dumating wala halaga kayo wala duble
manipis po kala ko pa naman medyo makapal naman manipis na nga mga na ko nakaraan may mas manipis pa pala sana makapal,manipis kala medyo makapal manipis nga nakaraan mas manipis pala makapal
ng ng mask lang dumating kasi bayad naman ang ko,mask dumating kasi bayad
hindi maayos kausap kung salita na ako ng kung ano sana lang ng puro kaya siguro hindi na ng maayos na maulit sa iba,maayos kausap salita puro siguro maayos maulit
makapal medyo maliit at at,makapal medyo maliit
manipis siya siya siya siya siya,manipis
kung ano nasa din sa personal bigay ko kulay na naman,nasa personal bigay kulay
maganda po mali ng isa sa order ko pero lang din,maganda mali
order,
ang may nagagamit na ang ko para sa kanyang,nagagamit
maikli ako sa mama ko pero salamat na pero maikli pa sila ganda pa presko at malambot,maikli mama salamat maikli ganda presko malambot
naman po wala lang na rin ng anak ko,wala rin anak
sa sa,
ganda shooting,ganda shooting
ng order po ng order po,
ko pero lang dumating pero,dumating
sayang walang man na gusto na di nila na kaya sulit pa rin salamat,sayang man di sulit rin salamat
makapal at maganda,makapal maganda
ano ang ganda tapos pa dumating kaya order ako neto ulit salamat po sa mabilis na transaction sa,ganda tapos dumating neto ulit salamat mabilis transaction
siya di mainit sa pakiramdam nila gusto sa,di mainit pakiramdam
sa din ang kulay din sa kaya,kulay
naman na sa araw araw na gamitin mura malambot naman ang tila di mainit,araw araw gamitin mura malambot tila di mainit
po sa akin malambot ang tela mabait kuya na bago,malambot tela mabait kuya
maganda ang sulit sa ulit agad ng tropa salamat at kay,maganda sulit ulit agad tropa salamat kay
partner,partner
ganda po gusto ng asawa ko,ganda asawa
salamat,salamat
salamat maganda magamit uniform ng anak ko nila salamat din kuya,salamat maganda magamit uniform anak salamat kuya
maganda ang tela at malambot di mainit sa balat sarap isuot at mura pa mali ng kulay at pero dumating pero ng,maganda tela malambot di mainit balat sarap isuot mura mali kulay dumating
maganda kahit sa personal pag ko maganda at makapal ang tela ng anak ko uniform sa dahil na maganda ang salamat din sa na,maganda personal pag maganda makapal tela anak uniform maganda salamat
order na kayo dito di,kayo di
maganda ang tela hindi at tama ang na pinili ko at naman ng anak ko,maganda tela tama pinili anak
ang malambot kaliitan ang na pero na rin gusto ko,malambot kaliitan rin
po tela ang order ko na po ang pero upo kuya at,tela upo kuya
maliit ang na nga ko di apo ko po ipalit ng,maliit nga di apo ipalit
po lang po po,
isa isa tama ang,tama
mali order ko dumating maliit balik ko,mali dumating maliit balik
isa isa tama ang,tama
maganda tela kaso medyo maliit pala ang mabilis din ang,maganda tela kaso medyo maliit pala mabilis
order na sana lahat kaso sa kulay ang may sablay nga lang,kaso kulay sablay nga
sa anak ko po po kuya po ang tela po,anak kuya tela
makapal at ko order ko pero dumating salamat,makapal dumating salamat
at mabilis pag ni,mabilis pag
regular,regular
me,
maganda siya,maganda
ng ng ng ng ng ng,
ayos na,ayos
tong na apat ko ng tama pero tatlo lang ko ayaw sumagot lagi pa naman sana ako sa kanya,tong tama ayaw sumagot lagi
ang po,
am,
na sulit ang sa halaga order ko na at wala,sulit halaga wala
naman gusto nang asawa ko kay kuya,nang asawa kay kuya
sayang ang ganda sana ngayon lang ako ng sira ang laylayan,sayang ganda sira laylayan
me,
lang sa akin maganda sa presyo kaya sana lang tumagal din sa,maganda presyo tumagal
at tama naman na dumating maganda naman ang tela at kuya,tama dumating maganda tela kuya
ang ganda ng sa niya din kuya suki kana namin po,ganda kuya suki kana
ang ng komportable at manipis,komportable manipis
order,
na pero maganda kakapalan ang tela salamat at maging kuya maulan sa,maganda kakapalan tela salamat kuya maulan
mura pambahay ng anak ko sa saka malambot din ang tela,mura pambahay anak saka malambot tela
namin ng anak ko,anak
naman walang at magagamit ko lang din,magagamit
order walang ang tela makapal ng order ulit,tela makapal ulit
maganda ang,maganda
po ko po naman at po sa na mabait,mabait
salamat,salamat
naman malambot medyo,malambot medyo
ganda order ulit ako,ganda ulit
transaction,transaction
bilis ng ni iba ako pa,bilis
order ko dumating dumating puro ng anak ko ang liit ng pa ng tela bumili dito,dumating dumating puro anak liit tela bumili
maganda tama lang kaso dalawa ko na isa lang tama isa maliit,maganda tama kaso tama maliit
maganda po,maganda
maganda at pa ang tela at mabasa sa ulan kaya ko,maganda tela mabasa ulan
maganda siya,maganda
man na papalitan ng at order ka lang dami ng,man papalitan dami
araw ako ng masipag at bukid,araw masipag bukid
tama at din at kuya,tama kuya
salamat sa pag ng,salamat pag
po,
ang ganda at makapal tela rin salamat sa at,ganda makapal tela rin salamat
maliit ang ng pambata at mga tela,maliit pambata tela
maganda,maganda
maliit kay pero sa ng tela maganda kahit mura lang ni bitin nga lang sa kanya naman,maliit kay tela maganda mura bitin nga
maganda ang tila tama din ang kulay na ni at mabait din order,maganda tila tama kulay mabait
naman siya naman sa asawa ko kahit dalawa buti,asawa buti
maganda naman po kaso maliit order po ulit ako ng isa kay,maganda kaso maliit ulit kay
at tama lang sa anak may luwag pa ng di lang kita sa pero mas maganda may masikip,tama anak luwag di kita mas maganda masikip
maganda tela malambot,maganda tela malambot
kala ko sa anak ko malaki pa sa kanya bilis dumating,kala anak malaki bilis dumating
lang dumating tama din kulay na salamat,dumating tama kulay salamat
order po ng,
sabi ng anak maarte mainit maganda naman at makapal nga ang na rin,anak maarte mainit maganda makapal nga rin
bili na kayo,bili kayo
order lang ninyo hindi sumasagot,ninyo sumasagot
sablay lang pero,sablay
po ang ganda ng,ganda
ang ang tela,tela
kuya,kuya
di kulay na gusto ko kulang pa ng isa po order ko lang dumating,di kulay dumating
dumating sa akin ang sikip sa ko,dumating sikip
po ang nila,
sa asawa ko,asawa
ako ng anak sa mo ako dito sa na bagay bagay sa anak na na at napaka porma at ang suot mami,anak mo bagay bagay anak porma suot mami
naman ko ko masikip kasi lang ang mahal pa mas ako ng maayos,masikip kasi mahal mas maayos
me ko medyo,medyo
naman po kayo po order ko pero puro dala,kayo puro dala
apo,apo
makapal tela mali isa pero din ng tatay ko at bilis,makapal tela mali tatay bilis
naman ako ang ganda ng,ganda
ang dumating,dumating
maganda sana hindi sila sumusunod sa kulay at madalas mali kulay din o kaya tama kulay mali di,maganda sumusunod kulay madalas mali kulay tama kulay mali di
maganda pa bulsa ulit,maganda bulsa ulit
ayos po ang lahat maganda po ang salamat po at kay salamat po,ayos maganda salamat kay salamat
order ko order,
order ko na po sa inyo pero po order ko masikip sa,inyo masikip
ang ganda ang ko lang,ganda
medyo maliit pala na order ko lakihan ko maganda siya presko lang,medyo maliit pala lakihan maganda presko
maganda,maganda
walang kupas maganda salamat salamat at,kupas maganda salamat salamat
order ko isa may tapos isa nasa din pero ang dumating lang na ay nasa ate order namin lahat ay pero dalawa na ang sa ate ko order ang hindi dumating,tapos nasa dumating nasa ate ate dumating
maganda,maganda
ang ganda,ganda
makapal ang tela at malambot nga may ang bulsa butas pa ipatahi pero rin sa akin,makapal tela malambot nga bulsa butas ipatahi rin
salamat,salamat
ng asawa ko lang na kaya sa at sa,asawa
dumating na po order ko po po ng sa anak ko ganda po ng tela order ulit,dumating anak ganda tela ulit
tawa lagay ng ng kulay pero sila sana lagyan ng kung din,tawa lagay kulay lagyan
mura at maganda sa lang di pero ayos lang naman,mura maganda di ayos
maganda at maayos naman po ang order,maganda maayos
at ang ganda ng tela lang at bahay naman ako,ganda tela bahay
din at po ganda ng order pa uli ng dalwa dumating din pasensya na sa suot ni kaya wala,ganda uli dalwa dumating pasensya suot wala
maganda ang at mabilis at mabilis din sa,maganda mabilis mabilis
maganda lahat sa mga ko beses din ako order salamat po ng sobra,maganda beses salamat sobra
ang order ko pero at dumating buti kasama ko ko po tama lahat,dumating buti kasama tama
ni kuya salamat,kuya salamat
ang ganda po ng mga tama kulay at din po ang dumating ng bilis ng order po ulit ako sa po salamat,ganda tama kulay dumating bilis ulit salamat
bilis ng pag ni nga bilis ni isa na na ko,bilis pag nga bilis
maganda ko order ulit ako sa salamat at kay pati na sa ng ang bilis ma at kahapon ko lang dumating na agad ngayon lang,maganda ulit salamat kay pati bilis ma kahapon dumating agad
para sa presyo,presyo
ko lang ang salamat ulit at kay po kayo,salamat ulit kay kayo
order ulit ako salamat maganda gamitin di mainit,ulit salamat maganda gamitin di mainit
po sa akin ng anak ko maganda ang tela at makapal na order po ulit ako para sa dalaga ko,anak maganda tela makapal ulit dalaga
medyo makapal at ng gala at kung saan pa porma at maaliwalas,medyo makapal gala porma maaliwalas
maganda,maganda
ng papa ko tatlo ko sa halaga may salamat ngayon lang dumating dahil nga,papa halaga salamat dumating nga
akin,
ayos lang naman sapat sa presyo umasa sa presyo kasi niya lang rin ang makukuha mo,ayos sapat presyo umasa presyo kasi rin makukuha mo
maganda mas maganda sa mas malaki ng sa kahit na salamat po sa,maganda mas maganda mas malaki salamat
maganda sa akin lang ang din kuya,maganda kuya
salamat sa pa sa ang ay tunay na puso ng tao hindi kagaya ng lang at bumaba na ang presyo ng na ang salamat po po ang ko sa ganyan lahat ang po kayo ng at,salamat tunay puso tao kagaya bumaba presyo salamat ganyan kayo
maganda kapag,maganda
walang na dumating sa order ko hindi tumama lahat nang order ko dami na order ngayon lang mali lahat,dumating tumama nang dami mali
ganda at sa kasi di na na po sa bili din po di ng ata na salamat po namin,ganda kasi di bili di ata salamat
ganda na lahat dina,ganda dina
order ko ang dumating ang ng sa ate,dumating ate
manipis maliit siya sa ang dahil siya sana nga lang may din siya sa likod tapos sana malalim ang,manipis maliit nga tapos malalim
naman hindi makapal tag ako kasi iba kung na kulay hindi order ko pero na,makapal tag kasi kulay
hirap kaya ng buti salamat din,hirap buti salamat
